Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Demographic
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,TV Tokyo,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Aniplex,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Dentsu,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Shueisha,Shounen
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Media Factory,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Movic,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,AT-X,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Kadokawa Pictures Japan,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Nitroplus,
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,TV Tokyo,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Aniplex,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Dentsu,Shounen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Aniplex,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Mainichi Broadcasting System,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Magic Capsule,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,Shueisha,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,JR East Marketing & Communications,Seinen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Production I.G,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Dentsu,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Mainichi Broadcasting System,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Pony Canyon,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Kodansha,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Techno Sound,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Pony Canyon Enterprise,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,TV Tokyo,Shounen
