Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Genres,Demographic
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Bones,Action,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Bones,Adventure,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Bones,Drama,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Bones,Fantasy,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Pierrot,Action,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Pierrot,Adventure,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Pierrot,Fantasy,Shounen
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,White Fox,Drama,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,White Fox,Sci-Fi,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,White Fox,Suspense,
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Bandai Namco Pictures,Action,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Bandai Namco Pictures,Comedy,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Bandai Namco Pictures,Sci-Fi,Shounen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,A-1 Pictures,Comedy,Seinen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,A-1 Pictures,Romance,Seinen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Wit Studio,Action,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Wit Studio,Drama,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,Bandai Namco Pictures,Action,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,Bandai Namco Pictures,Comedy,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,Bandai Namco Pictures,Drama,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,Bandai Namco Pictures,Sci-Fi,Shounen
Gintama',8,385,9.04,221072,511112,7583,TV,51,Finished Airing,Spring,2011,Sunrise,Action,Shounen
Gintama',8,385,9.04,221072,511112,7583,TV,51,Finished Airing,Spring,2011,Sunrise,Comedy,Shounen
Gintama',8,385,9.04,221072,511112,7583,TV,51,Finished Airing,Spring,2011,Sunrise,Sci-Fi,Shounen
Hunter x Hunter (2011),9,10,9.04,1605770,2584223,195979,TV,148,Finished Airing,Fall,2011,Madhouse,Action,Shounen
Hunter x Hunter (2011),9,10,9.04,1605770,2584223,195979,TV,148,Finished Airing,Fall,2011,Madhouse,Adventure,Shounen
Hunter x Hunter (2011),9,10,9.04,1605770,2584223,195979,TV,148,Finished Airing,Fall,2011,Madhouse,Fantasy,Shounen
