Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Themes,Demographic
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Military,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,,Shounen
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Time Travel,
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Gag Humor,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Historical,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Parody,Shounen
Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,Samurai,Shounen
Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,School,Seinen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Gore,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Military,Shounen
Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,Survival,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,Gag Humor,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,Historical,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,Parody,Shounen
Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,Samurai,Shounen
Gintama',8,385,9.04,221072,511112,7583,TV,51,Finished Airing,Spring,2011,Gag Humor,Shounen
Gintama',8,385,9.04,221072,511112,7583,TV,51,Finished Airing,Spring,2011,Historical,Shounen
Gintama',8,385,9.04,221072,511112,7583,TV,51,Finished Airing,Spring,2011,Parody,Shounen
Gintama',8,385,9.04,221072,511112,7583,TV,51,Finished Airing,Spring,2011,Samurai,Shounen
Hunter x Hunter (2011),9,10,9.04,1605770,2584223,195979,TV,148,Finished Airing,Fall,2011,,Shounen
Ginga Eiyuu Densetsu,11,724,9.02,74176,298804,15395,OVA,110,Finished Airing,,1988,Adult Cast,
Ginga Eiyuu Densetsu,11,724,9.02,74176,298804,15395,OVA,110,Finished Airing,,1988,Military,
Ginga Eiyuu Densetsu,11,724,9.02,74176,298804,15395,OVA,110,Finished Airing,,1988,Space,
Gintama': Enchousen,10,712,9.03,154383,301900,2930,TV,13,Finished Airing,Fall,2012,Gag Humor,Shounen
Gintama': Enchousen,10,712,9.03,154383,301900,2930,TV,13,Finished Airing,Fall,2012,Historical,Shounen
Gintama': Enchousen,10,712,9.03,154383,301900,2930,TV,13,Finished Airing,Fall,2012,Parody,Shounen
