Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Funimation,Bones,Action,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Funimation,Bones,Adventure,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Funimation,Bones,Drama,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Funimation,Bones,Fantasy,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Aniplex of America,Bones,Action,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Aniplex of America,Bones,Adventure,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Aniplex of America,Bones,Drama,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Aniplex,Aniplex of America,Bones,Fantasy,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Funimation,Bones,Action,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Funimation,Bones,Adventure,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Funimation,Bones,Drama,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Funimation,Bones,Fantasy,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Aniplex of America,Bones,Action,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Aniplex of America,Bones,Adventure,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Aniplex of America,Bones,Drama,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Square Enix,Aniplex of America,Bones,Fantasy,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Funimation,Bones,Action,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Funimation,Bones,Adventure,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Funimation,Bones,Drama,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Funimation,Bones,Fantasy,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Aniplex of America,Bones,Action,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Aniplex of America,Bones,Adventure,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Aniplex of America,Bones,Drama,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Aniplex of America,Bones,Fantasy,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Funimation,Bones,Action,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Funimation,Bones,Adventure,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Funimation,Bones,Drama,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Funimation,Bones,Fantasy,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Aniplex of America,Bones,Action,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Aniplex of America,Bones,Adventure,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Aniplex of America,Bones,Drama,Military,Shounen
Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,Studio Moriken,Aniplex of America,Bones,Fantasy,Military,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,TV Tokyo,VIZ Media,Pierrot,Action,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,TV Tokyo,VIZ Media,Pierrot,Adventure,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,TV Tokyo,VIZ Media,Pierrot,Fantasy,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Aniplex,VIZ Media,Pierrot,Action,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Aniplex,VIZ Media,Pierrot,Adventure,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Aniplex,VIZ Media,Pierrot,Fantasy,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Dentsu,VIZ Media,Pierrot,Action,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Dentsu,VIZ Media,Pierrot,Adventure,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Dentsu,VIZ Media,Pierrot,Fantasy,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Shueisha,VIZ Media,Pierrot,Action,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Shueisha,VIZ Media,Pierrot,Adventure,,Shounen
Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,Shueisha,VIZ Media,Pierrot,Fantasy,,Shounen
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Drama,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Drama,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Sci-Fi,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Sci-Fi,Time Travel,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Suspense,Psychological,
Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,Frontier Works,Funimation,White Fox,Suspense,Time Travel,
