,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Kamisama Hajimemashita◎,351,555,8.2,200284,372210,2776,TV,12,Finished Airing,Winter,2015,"['Dentsu', 'Sotsu']",['Funimation'],['TMS Entertainment'],"['Comedy', 'Fantasy', 'Romance']",Mythology,Shoujo
1,Asobi Asobase,352,456,8.19,207342,437832,6062,TV,12,Finished Airing,Summer,2018,"['Hakusensha', 'AT-X', 'Sony Music Communications', 'Kadokawa Media House', 'Kadokawa']",['add some'],['Lerche'],N/A,"['Gag Humor', 'School']",Seinen
2,Bakuman.,353,326,8.19,285644,594812,9286,TV,25,Finished Airing,Fall,2010,"['NHK', 'Shueisha']",['Media Blasters'],['J.C.Staff'],"['Comedy', 'Drama', 'Romance']",Otaku Culture,Shounen
3,Ballroom e Youkoso,354,694,8.19,139004,310743,3356,TV,24,Finished Airing,Summer,2017,"['Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Movic', 'Bandai Namco Games', ""Toy's Factory"", 'Animatic']",['Ponycan USA'],['Production I.G'],"['Comedy', 'Drama', 'Romance', 'Sports']","['Performing Arts', 'School']",Shounen
4,Chihayafuru,355,460,8.19,174382,435861,7586,TV,25,Finished Airing,Fall,2011,"['VAP', 'Nippon Television Network']",['Sentai Filmworks'],['Madhouse'],"['Drama', 'Sports']","['Love Polygon', 'School', 'Strategy Game']",Josei
5,Fate/stay night: Unlimited Blade Works,356,137,8.19,636054,1004240,15819,TV,12,Finished Airing,Fall,2014,"['Aniplex', 'Notes']",['Aniplex of America'],['ufotable'],"['Action', 'Fantasy', 'Supernatural']",N/A,N/A
6,Girls & Panzer Movie,357,1888,8.19,53726,99304,1298,Movie,1,Finished Airing,N/A,2015,"['Bandai Visual', 'Lantis', 'Movic', 'Showgate', 'Graphinica', 'Q-Tec', 'Hakuhodo DY Music & Pictures', 'Hakuhodo DY Media Partners']",['Sentai Filmworks'],['Actas'],"['Action', 'Award Winning']","['Military', 'School']",N/A
7,Haikyuu!! Movie 4: Concept no Tatakai,358,2267,8.19,28274,74453,72,Movie,1,Finished Airing,N/A,2017,['add some'],['add some'],['Production I.G'],N/A,"['School', 'Team Sports']",Shounen
8,Hunter x Hunter: Greed Island,359,1405,8.19,81316,147483,281,OVA,8,Finished Airing,N/A,2003,['add some'],['add some'],['Nippon Animation'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
9,Little Busters! Refrain,360,1329,8.19,74751,159733,2063,TV,13,Finished Airing,Fall,2013,"['Warner Bros. Japan', 'Showgate']",['Sentai Filmworks'],['J.C.Staff'],"['Comedy', 'Drama', 'Romance', 'Supernatural']",School,N/A
10,Liz to Aoi Tori,361,1586,8.19,47815,125152,2319,Movie,1,Finished Airing,N/A,2018,"['Lantis', 'Shochiku', 'Pony Canyon', 'Rakuonsha', 'Bandai Namco Arts']","['Eleven Arts', 'Ponycan USA']",['Kyoto Animation'],"['Award Winning', 'Drama']","['Music', 'Performing Arts', 'School']",N/A
11,Maison Ikkoku,362,2413,8.19,17475,67243,1576,TV,96,Finished Airing,Spring,1986,"['Kitty Films', 'Fuji TV']",['VIZ Media'],['Studio Deen'],"['Comedy', 'Drama', 'Romance']",Adult Cast,Seinen
12,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,363,2637,8.19,29519,57442,73,Special,1,Finished Airing,N/A,2013,['Fuji TV'],['add some'],['Toei Animation'],"['Action', 'Adventure', 'Fantasy']",N/A,Shounen
13,Senki Zesshou Symphogear XV,364,3376,8.19,12698,36393,841,TV,13,Finished Airing,Summer,2019,"['Memory-Tech', 'Bushiroad', 'MAGES.', 'King Records', 'Kinyosha']",['Discotek Media'],['Satelight'],"['Action', 'Sci-Fi']","['Idols (Female)', 'Music']",N/A
14,Shoujo Kakumei Utena,365,1071,8.19,59396,202663,7646,TV,39,Finished Airing,Spring,1997,"['TV Tokyo', 'Yomiko Advertising', 'SoftX', 'Shogakukan', 'Audio Tanaka']","['Nozomi Entertainment', 'Central Park Media']",['J.C.Staff'],"['Award Winning', 'Comedy', 'Drama', 'Fantasy', 'Mystery']","['Mahou Shoujo', 'Psychological']",N/A
15,Stand By Me Doraemon 2,366,4518,8.19,11169,19681,103,Movie,1,Finished Airing,N/A,2020,"['Dentsu', 'TV Asahi', 'Toho', 'Shueisha', 'Nagoya Broadcasting Network', 'Asahi Broadcasting', 'Shogakukan', 'Abe Shuuji Jimusho', 'Shizuoka Asahi Television']",['add some'],"['Shirogumi', 'Shin-Ei Animation']","['Comedy', 'Sci-Fi']",N/A,Kids
16,Yoru wa Mijikashi Arukeyo Otome,367,1695,8.19,46785,115317,1575,Movie,1,Finished Airing,N/A,2017,"['Fuji TV', 'Toho', 'BS Fuji', 'Kadokawa']",['GKIDS'],['Science SARU'],"['Comedy', 'Romance']",N/A,N/A
17,Yojouhan Time Machine Blues,368,3611,8.18,7011,31559,176,ONA,6,Finished Airing,N/A,2022,"['Fuji TV', 'Kadokawa']",['add some'],['Science SARU'],"['Comedy', 'Mystery', 'Romance', 'Suspense']","['Psychological', 'Time Travel']",N/A
18,Dr. Stone: Stone Wars,369,155,8.18,509517,919111,6994,TV,11,Finished Airing,Winter,2021,"['TOHO animation', 'Shueisha', 'Toho Music', '8PAN']",['Funimation'],['TMS Entertainment'],"['Adventure', 'Comedy', 'Sci-Fi']","['Survival', 'Time Travel']",Shounen
