,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Kaichou wa Maid-sama!,571,101,8.01,694266,1183766,22036,TV,26,Finished Airing,Spring,2010,"['Geneon Universal Entertainment', 'TBS', 'Hakusensha', 'Half H.P Studio']",['Sentai Filmworks'],['J.C.Staff'],"['Comedy', 'Romance']",School,Shoujo
1,Deadman Wonderland,3296,102,7.16,658435,1182547,6602,TV,12,Finished Airing,Spring,2011,"['Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'AMG MUSIC']",['Funimation'],['Manglobe'],"['Action', 'Horror', 'Sci-Fi', 'Supernatural']","['Gore', 'High Stakes Game', 'Survival']",Shounen
2,Guilty Crown,2038,103,7.42,614795,1167009,16803,TV,22,Finished Airing,Fall,2011,"['Aniplex', 'Dentsu', 'Movic', 'Fuji TV', 'Fujipacific Music', '1IN']",['Funimation'],['Production I.G'],"['Action', 'Drama', 'Sci-Fi']","['Mecha', 'Romantic Subtext', 'Super Power']",N/A
3,Samurai Champloo,123,104,8.51,602473,1166142,35499,TV,26,Finished Airing,Spring,2004,"['Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG']","['Funimation', 'Geneon Entertainment USA']",['Manglobe'],"['Action', 'Adventure', 'Comedy']","['Historical', 'Samurai']",N/A
4,Mononoke Hime,59,105,8.67,753355,1166148,20214,Movie,1,Finished Airing,N/A,1997,"['Tokuma Shoten', 'Nippon Television Network']",['GKIDS'],['Studio Ghibli'],"['Action', 'Adventure', 'Award Winning', 'Fantasy']",N/A,N/A
5,Kobayashi-san Chi no Maid Dragon,614,106,7.97,700494,1161727,16644,TV,13,Finished Airing,Winter,2017,"['Lantis', 'Pony Canyon', 'ABC Animation']","['Funimation', 'Crunchyroll']",['Kyoto Animation'],"['Fantasy', 'Slice of Life']",N/A,N/A
6,Dragon Ball Z,386,107,8.16,800474,1157131,35447,TV,291,Finished Airing,Spring,1989,['Fuji TV'],['Funimation'],['Toei Animation'],"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Martial Arts', 'Super Power']",Shounen
7,Chainsaw Man,70,108,8.64,536613,1154887,38264,TV,12,Finished Airing,Fall,2022,['add some'],['add some'],['MAPPA'],"['Action', 'Fantasy']",Gore,Shounen
8,Kimetsu no Yaiba: Yuukaku-hen,28,109,8.82,704893,1154804,22714,TV,11,Finished Airing,Winter,2022,"['Aniplex', 'Shueisha']","['Aniplex of America', 'Crunchyroll']",['ufotable'],"['Action', 'Fantasy']",Historical,Shounen
9,Kuroko no Basket,497,110,8.07,669357,1133525,20516,TV,25,Finished Airing,Spring,2012,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Mainichi Broadcasting System', 'Banpresto', 'Shueisha', 'BS11']",['add some'],['Production I.G'],N/A,"['School', 'Team Sports']",Shounen
10,Clannad: After Story,17,111,8.94,631642,1132558,68370,TV,24,Finished Airing,Fall,2008,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",['Sentai Filmworks'],['Kyoto Animation'],"['Drama', 'Romance', 'Supernatural']",N/A,N/A
11,Kuroshitsuji,1216,112,7.67,582133,1120460,21842,TV,24,Finished Airing,Fall,2008,"['Aniplex', 'Square Enix', 'Yomiko Advertising', 'Mainichi Broadcasting System', 'Movic', 'Trinity Sound']","['Funimation', 'Aniplex of America']",['A-1 Pictures'],"['Action', 'Comedy', 'Mystery', 'Supernatural']","['Historical', 'Mythology']",Shounen
12,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,465,113,8.1,792711,1118339,20731,TV,24,Finished Airing,Spring,2014,"['Yomiko Advertising', 'Warner Bros. Japan', 'Kamikaze Douga', 'KlockWorx', 'Shueisha']",['VIZ Media'],['David Production'],"['Action', 'Adventure', 'Drama', 'Supernatural']",N/A,Shounen
13,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,35,114,8.78,742114,1117331,15056,TV,10,Finished Airing,Fall,2016,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']",['Sentai Filmworks'],['Production I.G'],N/A,"['School', 'Team Sports']",Shounen
14,Dororo,301,115,8.24,568317,1115370,18887,TV,24,Finished Airing,Winter,2019,['Twin Engine'],['Sentai Filmworks'],"['Tezuka Productions', 'MAPPA']","['Action', 'Adventure', 'Supernatural']","['Historical', 'Mythology', 'Samurai']",Shounen
15,Nisekoi,1455,116,7.58,629730,1114353,10588,TV,20,Finished Airing,Winter,2014,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha']",['Aniplex of America'],['Shaft'],"['Comedy', 'Romance']","['Harem', 'School']",Shounen
