,Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Licensors,Studios,Genres,Themes,Demographic
0,Fullmetal Alchemist: Brotherhood,1,3,9.11,1968498,3096928,213711,TV,64,Finished Airing,Spring,2009,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']","['Funimation', 'Aniplex of America']",['Bones'],"['Action', 'Adventure', 'Drama', 'Fantasy']",Military,Shounen
1,Bleach: Sennen Kessen-hen,2,518,9.1,176150,395099,15982,TV,13,Finished Airing,Fall,2022,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['VIZ Media'],['Pierrot'],"['Action', 'Adventure', 'Fantasy']",,Shounen
2,Steins;Gate,3,13,9.08,1307453,2385176,179860,TV,24,Finished Airing,Spring,2011,"['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['Funimation'],['White Fox'],"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",
3,Gintama°,4,335,9.07,231942,579574,15572,TV,51,Finished Airing,Spring,2015,"['TV Tokyo', 'Aniplex', 'Dentsu']","['Funimation', 'Crunchyroll']",['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
4,Kaguya-sama wa Kokurasetai: Ultra Romantic,5,224,9.07,409692,762610,27361,TV,13,Finished Airing,Spring,2022,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",['Aniplex of America'],['A-1 Pictures'],"['Comedy', 'Romance']",School,Seinen
5,Shingeki no Kyojin Season 3 Part 2,6,27,9.06,1422409,2031135,54110,TV,10,Finished Airing,Spring,2019,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],['Wit Studio'],"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
6,Gintama: The Final,7,1588,9.05,59808,125093,3971,Movie,1,Finished Airing,,2021,"['TV Tokyo', 'Warner Bros. Japan']",['Eleven Arts'],['Bandai Namco Pictures'],"['Action', 'Comedy', 'Drama', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
7,Gintama',8,385,9.04,221072,511112,7583,TV,51,Finished Airing,Spring,2011,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']",['add some'],['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
8,Hunter x Hunter (2011),9,10,9.04,1605770,2584223,195979,TV,148,Finished Airing,Fall,2011,"['VAP', 'Nippon Television Network', 'Shueisha']",['VIZ Media'],['Madhouse'],"['Action', 'Adventure', 'Fantasy']",,Shounen
9,Ginga Eiyuu Densetsu,11,724,9.02,74176,298804,15395,OVA,110,Finished Airing,,1988,"['TV Tokyo', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications', 'Wright Staff']",['Sentai Filmworks'],"['K-Factory', 'Kitty Film Mitaka Studio']","['Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",
10,Gintama': Enchousen,10,712,9.03,154383,301900,2930,TV,13,Finished Airing,Fall,2012,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']",['add some'],['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
11,Fruits Basket: The Final,12,496,9.01,199637,409391,18297,TV,13,Finished Airing,Spring,2021,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",['Funimation'],['TMS Entertainment'],"['Drama', 'Romance', 'Supernatural']",,Shoujo
12,Gintama.,13,743,8.99,134928,290072,2613,TV,12,Finished Airing,Winter,2017,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['add some'],['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
13,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,14,1944,8.97,10420,95319,476,Movie,1,Finished Airing,,2022,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']",['add some'],['A-1 Pictures'],"['Comedy', 'Drama', 'Romance']",School,Seinen
14,3-gatsu no Lion 2nd Season,15,551,8.94,186834,375011,14687,TV,22,Finished Airing,Fall,2017,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",['Aniplex of America'],['Shaft'],"['Drama', 'Slice of Life']","['Childcare', 'Iyashikei', 'Strategy Game']",Seinen
15,Clannad: After Story,16,111,8.94,630878,1130850,68334,TV,24,Finished Airing,Fall,2008,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']",['Sentai Filmworks'],['Kyoto Animation'],"['Drama', 'Romance', 'Supernatural']",,
16,Gintama,17,139,8.94,374638,1003597,56937,TV,201,Finished Airing,Spring,2006,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']","['Sentai Filmworks', 'Crunchyroll']",['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
17,Koe no Katachi,18,19,8.94,1481502,2132723,81535,Movie,1,Finished Airing,,2016,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']","['Eleven Arts', 'NYAV Post']",['Kyoto Animation'],"['Award Winning', 'Drama']",Romantic Subtext,Shounen
18,Bocchi the Rock!,19,635,8.92,184106,334574,16214,TV,12,Finished Airing,Fall,2022,"['Aniplex', 'Houbunsha']",['add some'],['CloverWorks'],,"['CGDCT', 'Music']",
19,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,20,959,8.92,127363,224169,2069,Movie,1,Finished Airing,,2013,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']",['add some'],['Sunrise'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel']",Shounen
20,Code Geass: Hangyaku no Lelouch R2,21,47,8.91,1123594,1664362,73613,TV,25,Finished Airing,Spring,2008,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']","['Funimation', 'Bandai Entertainment']",['Sunrise'],"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",
21,Violet Evergarden Movie,22,378,8.91,222929,519716,7871,Movie,1,Finished Airing,,2020,"['Shochiku', 'ABC Animation']",['Funimation'],['Kyoto Animation'],"['Award Winning', 'Drama', 'Fantasy']",,
22,Owarimonogatari 2nd Season,23,556,8.89,179290,371875,8353,TV,7,Finished Airing,Summer,2017,"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],"['Comedy', 'Mystery', 'Supernatural']",Vampire,
23,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,24,1187,8.88,86789,179916,1007,TV,14,Finished Airing,Summer,2018,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['add some'],['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
24,Monster,25,149,8.86,346069,965601,44599,TV,74,Finished Airing,Spring,2004,"['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network']",['VIZ Media'],['Madhouse'],"['Drama', 'Mystery', 'Suspense']","['Adult Cast', 'Psychological']",Seinen
25,Kimi no Na wa.,26,11,8.85,1760949,2530135,85552,Movie,1,Finished Airing,,2016,"['Toho', 'Sound Team Don Juan', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']","['Funimation', 'NYAV Post']",['CoMix Wave Films'],"['Award Winning', 'Drama', 'Supernatural']",Romantic Subtext,
26,Kimetsu no Yaiba: Yuukaku-hen,27,108,8.82,698368,1146048,22655,TV,11,Finished Airing,Winter,2022,"['Aniplex', 'Shueisha']","['Aniplex of America', 'Crunchyroll']",['ufotable'],"['Action', 'Fantasy']",Historical,Shounen
27,Gintama.: Shirogane no Tamashii-hen,28,1106,8.81,95029,194301,1120,TV,12,Finished Airing,Winter,2018,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",['add some'],['Bandai Namco Pictures'],"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen
28,Kingdom 3rd Season,29,2067,8.81,32002,86559,1726,TV,26,Finished Airing,Spring,2020,['Shueisha'],['Funimation'],"['Pierrot', 'Studio Signpost']",,"['Historical', 'Military']",Seinen
29,Shingeki no Kyojin: The Final Season,30,41,8.81,1172254,1778901,50867,TV,16,Finished Airing,Winter,2021,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprise']",['Funimation'],['MAPPA'],"['Action', 'Drama']","['Gore', 'Military', 'Survival']",Shounen
30,Mob Psycho 100 II,31,76,8.8,872693,1388309,31273,TV,13,Finished Airing,Winter,2019,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']",['Funimation'],['Bones'],"['Action', 'Comedy', 'Supernatural']",Super Power,
31,Kizumonogatari III: Reiketsu-hen,32,467,8.79,249772,430428,7120,Movie,1,Finished Airing,,2017,"['Aniplex', 'Kodansha']",['Aniplex of America'],['Shaft'],"['Action', 'Mystery', 'Supernatural']",Vampire,
32,Sen to Chihiro no Kamikakushi,33,44,8.78,1205808,1718812,30422,Movie,1,Finished Airing,,2001,['Toho'],"['Disney Platform Distribution', 'GKIDS']",['Studio Ghibli'],"['Adventure', 'Award Winning', 'Supernatural']",Mythology,
