Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Genres,Demographic
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Action,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Award Winning,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Drama,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Suspense,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Supernatural,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Suspense,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Action,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Adventure,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Drama,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Fantasy,Shounen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Action,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Comedy,Seinen
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,Action,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,Adventure,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,Fantasy,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,Romance,
Boku no Hero Academia,716,6,7.9,1937895.0,2823426,52900,TV,13,Finished Airing,Spring,2016,,Shounen
Kimetsu no Yaiba,120,7,8.52,1877132.0,2715426,86165,TV,26,Finished Airing,Spring,2019,Action,Shounen
Kimetsu no Yaiba,120,7,8.52,1877132.0,2715426,86165,TV,26,Finished Airing,Spring,2019,Award Winning,Shounen
