Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Producers,Demographic
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Production I.G,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Dentsu,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Mainichi Broadcasting System,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Pony Canyon,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Kodansha,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Mad Box,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Pony Canyon Enterprise,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,VAP,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Konami,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Ashi Productions,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Nippon Television Network,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Shueisha,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Aniplex,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Square Enix,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Mainichi Broadcasting System,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Studio Moriken,Shounen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,TV Tokyo,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Bandai Visual,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Lantis,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Asatsu DK,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Banpresto,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Good Smile Company,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Shueisha,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,JR East Marketing & Communications,Seinen
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,Aniplex,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,Genco,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,DAX Production,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,ASCII Media Works,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,Bandai Namco Games,
Boku no Hero Academia,716,6,7.9,1937895.0,2823426,52900,TV,13,Finished Airing,Spring,2016,Dentsu,Shounen
Boku no Hero Academia,716,6,7.9,1937895.0,2823426,52900,TV,13,Finished Airing,Spring,2016,Mainichi Broadcasting System,Shounen
Boku no Hero Academia,716,6,7.9,1937895.0,2823426,52900,TV,13,Finished Airing,Spring,2016,Movic,Shounen
Boku no Hero Academia,716,6,7.9,1937895.0,2823426,52900,TV,13,Finished Airing,Spring,2016,TOHO animation,Shounen
Boku no Hero Academia,716,6,7.9,1937895.0,2823426,52900,TV,13,Finished Airing,Spring,2016,Shueisha,Shounen
Kimetsu no Yaiba,120,7,8.52,1877132.0,2715426,86165,TV,26,Finished Airing,Spring,2019,Aniplex,Shounen
Kimetsu no Yaiba,120,7,8.52,1877132.0,2715426,86165,TV,26,Finished Airing,Spring,2019,Shueisha,Shounen
