Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Demographic
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Wit Studio,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Madhouse,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Bones,Shounen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Madhouse,Seinen
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,A-1 Pictures,
Boku no Hero Academia,716,6,7.9,1937895.0,2823426,52900,TV,13,Finished Airing,Spring,2016,Bones,Shounen
Kimetsu no Yaiba,120,7,8.52,1877132.0,2715426,86165,TV,26,Finished Airing,Spring,2019,ufotable,Shounen
Naruto,610,8,7.98,1847329.0,2663995,74878,TV,220,Finished Airing,Fall,2002,Pierrot,Shounen
Tokyo Ghoul,937,9,7.79,1759880.0,2651291,48566,TV,12,Finished Airing,Summer,2014,Pierrot,Seinen
Hunter x Hunter (2011),10,10,9.04,1609853.0,2591046,196344,TV,148,Finished Airing,Fall,2011,Madhouse,Shounen
Kimi no Na wa.,27,11,8.85,1764687.0,2536015,85702,Movie,1,Finished Airing,,2016,CoMix Wave Films,
Shingeki no Kyojin Season 2,130,12,8.5,1718408.0,2506076,20561,TV,12,Finished Airing,Spring,2017,Wit Studio,Shounen
Steins;Gate,4,13,9.08,1309812.0,2389941,180121,TV,24,Finished Airing,Spring,2011,White Fox,
Boku no Hero Academia 2nd Season,432,14,8.12,1622606.0,2363218,17139,TV,25,Finished Airing,Spring,2017,Bones,Shounen
Naruto: Shippuuden,291,15,8.25,1533493.0,2296084,105423,TV,500,Finished Airing,Winter,2007,Pierrot,Shounen
No Game No Life,475,16,8.09,1462426.0,2269623,47138,TV,12,Finished Airing,Spring,2014,Madhouse,
Jujutsu Kaisen,66,17,8.65,1400199.0,2164453,79030,TV,24,Finished Airing,Fall,2020,MAPPA,Shounen
Shingeki no Kyojin Season 3,79,18,8.62,1463049.0,2151420,19445,TV,12,Finished Airing,Summer,2018,Wit Studio,Shounen
Koe no Katachi,19,19,8.94,1484962.0,2138154,81698,Movie,1,Finished Airing,,2016,Kyoto Animation,Shounen
Code Geass: Hangyaku no Lelouch,51,20,8.7,1320444.0,2113483,103908,TV,25,Finished Airing,Fall,2006,Sunrise,
One Piece,57,21,8.68,1188125.0,2106084,191550,TV,0,Currently Airing,Fall,1999,Toei Animation,Shounen
Toradora!,480,22,8.09,1309092.0,2087338,55101,TV,25,Finished Airing,Fall,2008,J.C.Staff,
Shigatsu wa Kimi no Uso,68,23,8.65,1263170.0,2067896,82327,TV,22,Finished Airing,Fall,2014,A-1 Pictures,Shounen
Re:Zero kara Hajimeru Isekai Seikatsu,307,24,8.24,1320686.0,2049895,63697,TV,25,Finished Airing,Spring,2016,White Fox,
Noragami,628,25,7.96,1207661.0,2044757,32282,TV,12,Finished Airing,Winter,2014,Bones,Shounen
Boku no Hero Academia 3rd Season,520,26,8.05,1346080.0,2040844,12761,TV,25,Finished Airing,Spring,2018,Bones,Shounen
Shingeki no Kyojin Season 3 Part 2,7,27,9.06,1428129.0,2039398,54307,TV,10,Finished Airing,Spring,2019,Wit Studio,Shounen
Angel Beats!,505,28,8.06,1231643.0,1984503,47291,TV,13,Finished Airing,Spring,2010,P.A. Works,
Akame ga Kill!,1809,29,7.47,1233627.0,1962503,27727,TV,24,Finished Airing,Summer,2014,White Fox,Shounen
Boku dake ga Inai Machi,241,30,8.31,1275555.0,1954189,45960,TV,12,Finished Airing,Winter,2016,A-1 Pictures,Seinen
Nanatsu no Taizai,1180,31,7.68,1270965.0,1941955,19100,TV,24,Finished Airing,Fall,2014,A-1 Pictures,Shounen
Mirai Nikki (TV),1985,32,7.43,1161340.0,1920331,29986,TV,26,Finished Airing,Fall,2011,asread.,Shounen
Mob Psycho 100,131,33,8.49,1171608.0,1909457,44320,TV,12,Finished Airing,Summer,2016,Bones,
Ansatsu Kyoushitsu,468,34,8.09,1107777.0,1873799,28281,TV,22,Finished Airing,Winter,2015,Lerche,Shounen
Sword Art Online II,5526,35,6.7,1267482.0,1872572,9177,TV,24,Finished Airing,Summer,2014,A-1 Pictures,
Haikyuu!!,151,36,8.44,1140162.0,1830938,70008,TV,25,Finished Airing,Spring,2014,Production I.G,Shounen
Ao no Exorcist,1709,37,7.5,1103203.0,1828590,16565,TV,25,Finished Airing,Spring,2011,A-1 Pictures,Shounen
Yakusoku no Neverland,117,38,8.52,1194524.0,1824608,31952,TV,12,Finished Airing,Winter,2019,CloverWorks,Shounen
Kono Subarashii Sekai ni Shukufuku wo!,427,39,8.12,1185199.0,1820907,42871,TV,10,Finished Airing,Winter,2016,Studio Deen,
Bleach,710,40,7.91,1045209.0,1815663,67126,TV,366,Finished Airing,Fall,2004,Pierrot,Shounen
Shingeki no Kyojin: The Final Season,31,41,8.81,1177891.0,1786791,51008,TV,16,Finished Airing,Winter,2021,MAPPA,Shounen
Kiseijuu: Sei no Kakuritsu,209,42,8.34,1082166.0,1747169,33068,TV,24,Finished Airing,Fall,2014,Madhouse,Seinen
Cowboy Bebop,39,43,8.75,893529.0,1734058,76916,TV,26,Finished Airing,Spring,1998,Sunrise,
Sen to Chihiro no Kamikakushi,34,44,8.78,1208215.0,1722546,30486,Movie,1,Finished Airing,,2001,Studio Ghibli,
Tokyo Ghoul √A,3948,45,7.03,1140027.0,1680356,10262,TV,12,Finished Airing,Winter,2015,Pierrot,Seinen
Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,Gainax,
Neon Genesis Evangelion,210,46,8.34,1000460.0,1679253,98496,TV,26,Finished Airing,Fall,1995,Tatsunoko Production,
Code Geass: Hangyaku no Lelouch R2,22,47,8.91,1125393.0,1667662,73674,TV,25,Finished Airing,Spring,2008,Sunrise,
Fairy Tail,1445,48,7.58,968898.0,1659249,45119,TV,175,Finished Airing,Fall,2009,Satelight,Shounen
Fairy Tail,1445,48,7.58,968898.0,1659249,45119,TV,175,Finished Airing,Fall,2009,A-1 Pictures,Shounen
Death Parade,385,49,8.16,946713.0,1656746,27113,TV,12,Finished Airing,Winter,2015,Madhouse,
Violet Evergarden,60,50,8.67,890839.0,1636293,56310,TV,13,Finished Airing,Winter,2018,Kyoto Animation,
Kill la Kill,529,51,8.04,904963.0,1633317,36472,TV,24,Finished Airing,Fall,2013,Trigger,
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,293,52,8.25,1014369.0,1596440,44175,TV,13,Finished Airing,Fall,2018,CloverWorks,
Boku no Hero Academia 4th Season,691,53,7.92,991346.0,1590512,8187,TV,25,Finished Airing,Fall,2019,Bones,Shounen
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,169,54,8.41,999315.0,1585890,36661,TV,12,Finished Airing,Winter,2019,A-1 Pictures,Seinen
Another,1798,55,7.48,943386.0,1580516,16826,TV,12,Finished Airing,Winter,2012,P.A. Works,
Dr. Stone,258,56,8.29,954064.0,1579685,26050,TV,24,Finished Airing,Summer,2019,TMS Entertainment,Shounen
Shokugeki no Souma,395,57,8.16,953057.0,1560686,23366,TV,24,Finished Airing,Spring,2015,J.C.Staff,Shounen
One Punch Man 2nd Season,1770,58,7.49,926296.0,1549964,6140,TV,12,Finished Airing,Spring,2019,J.C.Staff,Seinen
Psycho-Pass,211,59,8.34,746191.0,1544108,37310,TV,22,Finished Airing,Fall,2012,Production I.G,
Soul Eater,844,60,7.84,806788.0,1541451,25611,TV,51,Finished Airing,Spring,2008,Bones,Shounen
JoJo no Kimyou na Bouken (TV),725,61,7.9,989076.0,1534470,35269,TV,26,Finished Airing,Fall,2012,David Production,Shounen
Darling in the FranXX,2981,62,7.22,948723.0,1533803,30636,TV,24,Finished Airing,Winter,2018,A-1 Pictures,
Darling in the FranXX,2981,62,7.22,948723.0,1533803,30636,TV,24,Finished Airing,Winter,2018,Trigger,
Darling in the FranXX,2981,62,7.22,948723.0,1533803,30636,TV,24,Finished Airing,Winter,2018,CloverWorks,
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,226,63,8.32,939593.0,1531927,32039,TV,11,Finished Airing,Spring,2011,A-1 Pictures,
Tengen Toppa Gurren Lagann,75,64,8.63,855439.0,1524337,74923,TV,27,Finished Airing,Spring,2007,Gainax,
Charlotte,1015,65,7.75,920747.0,1506760,21828,TV,13,Finished Airing,Summer,2015,P.A. Works,
Black Clover,415,66,8.14,756847.0,1503799,42280,TV,170,Finished Airing,Fall,2017,Pierrot,Shounen
Hataraku Maou-sama!,997,67,7.76,908694.0,1480289,10867,TV,13,Finished Airing,Spring,2013,White Fox,
Overlord,702,68,7.92,881728.0,1478787,24664,TV,13,Finished Airing,Summer,2015,Madhouse,
Tate no Yuusha no Nariagari,595,69,7.99,909702.0,1463487,25350,TV,25,Finished Airing,Winter,2019,Kinema Citrus,
Elfen Lied,1754,70,7.49,841329.0,1443578,23335,TV,13,Finished Airing,Summer,2004,Arms,Seinen
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,1547,71,7.55,899037.0,1439461,11353,TV,13,Finished Airing,Spring,2015,J.C.Staff,
Highschool of the Dead,3698,72,7.08,899532.0,1428763,9768,TV,12,Finished Airing,Summer,2010,Madhouse,Shounen
Fate/Zero,265,73,8.28,817723.0,1426060,32898,TV,13,Finished Airing,Fall,2011,ufotable,
Fullmetal Alchemist,436,74,8.12,858509.0,1408773,25269,TV,51,Finished Airing,Fall,2003,Bones,Shounen
Kono Subarashii Sekai ni Shukufuku wo! 2,274,75,8.27,936180.0,1405820,11605,TV,10,Finished Airing,Winter,2017,Studio Deen,
Mob Psycho 100 II,32,76,8.8,875606.0,1392665,31341,TV,13,Finished Airing,Winter,2019,Bones,
Noragami Aragoto,393,77,8.16,852170.0,1380844,11376,TV,13,Finished Airing,Fall,2015,Bones,Shounen
Kakegurui,2824,78,7.25,851640.0,1379817,10457,TV,12,Finished Airing,Summer,2017,MAPPA,Shounen
Clannad,583,79,8.0,728144.0,1354198,27054,TV,23,Finished Airing,Fall,2007,Kyoto Animation,
High School DxD,2362,80,7.34,854822.0,1348270,21712,TV,12,Finished Airing,Winter,2012,TNK,
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,575,81,8.01,800245.0,1345493,27463,TV,13,Finished Airing,Spring,2013,"""Brains Base""",
Durarara!!,444,82,8.11,641713.0,1344821,29625,TV,24,Finished Airing,Winter,2010,"""Brains Base""",
Bakemonogatari,219,83,8.33,700998.0,1337589,47643,TV,15,Finished Airing,Summer,2009,Shaft,
Kimetsu no Yaiba Movie: Mugen Ressha-hen,73,84,8.63,875460.0,1334237,12432,Movie,1,Finished Airing,,2020,ufotable,Shounen
Haikyuu!! Second Season,71,85,8.64,881099.0,1333257,15418,TV,25,Finished Airing,Fall,2015,Production I.G,Shounen
Ansatsu Kyoushitsu 2nd Season,126,86,8.5,828303.0,1331481,17144,TV,25,Finished Airing,Winter,2016,Lerche,Shounen
Tensei shitara Slime Datta Ken,414,87,8.14,788451.0,1298451,26869,TV,24,Finished Airing,Fall,2018,8bit,
Hyouka,488,88,8.08,603867.0,1291982,25989,TV,22,Finished Airing,Spring,2012,Kyoto Animation,
Vinland Saga,45,89,8.73,719140.0,1289350,39681,TV,24,Finished Airing,Summer,2019,Wit Studio,Seinen
Chuunibyou demo Koi ga Shitai!,1130,90,7.71,739786.0,1284439,17281,TV,12,Finished Airing,Fall,2012,Kyoto Animation,
Bungou Stray Dogs,882,91,7.82,637246.0,1263146,24376,TV,12,Finished Airing,Spring,2016,Bones,Seinen
Spy x Family,63,92,8.66,753074.0,1262524,37019,TV,12,Finished Airing,Spring,2022,Wit Studio,Shounen
Spy x Family,63,92,8.66,753074.0,1262524,37019,TV,12,Finished Airing,Spring,2022,CloverWorks,Shounen
Made in Abyss,61,93,8.66,678714.0,1258358,40908,TV,13,Finished Airing,Summer,2017,Kinema Citrus,
Owari no Seraph,1771,94,7.49,684327.0,1251891,13153,TV,12,Finished Airing,Spring,2015,Wit Studio,Shounen
Howl no Ugoku Shiro,65,95,8.66,843597.0,1220953,26030,Movie,1,Finished Airing,,2004,Studio Ghibli,
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,72,96,8.64,777104.0,1219271,18537,TV,12,Finished Airing,Spring,2020,A-1 Pictures,Seinen
Enen no Shouboutai,1133,97,7.71,654167.0,1216007,8682,TV,24,Finished Airing,Summer,2019,David Production,Shounen
Mahou Shoujo Madoka★Magica,199,98,8.36,712496.0,1214810,51809,TV,12,Finished Airing,Winter,2011,Shaft,
Horimiya,351,99,8.2,710304.0,1190607,30596,TV,13,Finished Airing,Winter,2021,CloverWorks,Shounen
Sakura-sou no Pet na Kanojo,478,100,8.09,677442.0,1188967,26000,TV,24,Finished Airing,Fall,2012,J.C.Staff,
Kaichou wa Maid-sama!,571,101,8.01,694266.0,1183766,22036,TV,26,Finished Airing,Spring,2010,J.C.Staff,Shoujo
Deadman Wonderland,3296,102,7.16,658435.0,1182547,6602,TV,12,Finished Airing,Spring,2011,Manglobe,Shounen
Guilty Crown,2038,103,7.42,614795.0,1167009,16803,TV,22,Finished Airing,Fall,2011,Production I.G,
Samurai Champloo,123,104,8.51,602473.0,1166142,35499,TV,26,Finished Airing,Spring,2004,Manglobe,
Mononoke Hime,59,105,8.67,753355.0,1166148,20214,Movie,1,Finished Airing,,1997,Studio Ghibli,
Kobayashi-san Chi no Maid Dragon,614,106,7.97,700494.0,1161727,16644,TV,13,Finished Airing,Winter,2017,Kyoto Animation,
Dragon Ball Z,386,107,8.16,800474.0,1157131,35447,TV,291,Finished Airing,Spring,1989,Toei Animation,Shounen
Chainsaw Man,70,108,8.64,536613.0,1154887,38264,TV,12,Finished Airing,Fall,2022,MAPPA,Shounen
Kimetsu no Yaiba: Yuukaku-hen,28,109,8.82,704893.0,1154804,22714,TV,11,Finished Airing,Winter,2022,ufotable,Shounen
Kuroko no Basket,497,110,8.07,669357.0,1133525,20516,TV,25,Finished Airing,Spring,2012,Production I.G,Shounen
Clannad: After Story,17,111,8.94,631642.0,1132558,68370,TV,24,Finished Airing,Fall,2008,Kyoto Animation,
Kuroshitsuji,1216,112,7.67,582133.0,1120460,21842,TV,24,Finished Airing,Fall,2008,A-1 Pictures,Shounen
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,465,113,8.1,792711.0,1118339,20731,TV,24,Finished Airing,Spring,2014,David Production,Shounen
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,35,114,8.78,742114.0,1117331,15056,TV,10,Finished Airing,Fall,2016,Production I.G,Shounen
Dororo,301,115,8.24,568317.0,1115370,18887,TV,24,Finished Airing,Winter,2019,Tezuka Productions,Shounen
Dororo,301,115,8.24,568317.0,1115370,18887,TV,24,Finished Airing,Winter,2019,MAPPA,Shounen
Nisekoi,1455,116,7.58,629730.0,1114353,10588,TV,20,Finished Airing,Winter,2014,Shaft,Shounen
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,800,117,7.86,699364.0,1113793,16810,TV,12,Finished Airing,Summer,2017,Lerche,
Tokyo Revengers,536,118,8.03,601746.0,1109631,24604,TV,24,Finished Airing,Spring,2021,LIDENFILMS,Shounen
Kyoukai no Kanata,1065,119,7.73,527452.0,1109596,11642,TV,12,Finished Airing,Fall,2013,Kyoto Animation,
Mushoku Tensei: Isekai Ittara Honki Dasu,198,120,8.37,671045.0,1105359,27237,TV,11,Finished Airing,Winter,2021,Others,
Tokyo Ghoul:re,7406,121,6.38,652987.0,1096671,3732,TV,12,Finished Airing,Spring,2018,Pierrot,Seinen
Tokyo Ghoul:re,7406,121,6.38,652987.0,1096671,3732,TV,12,Finished Airing,Spring,2018,Others,Seinen
Zankyou no Terror,461,122,8.1,582961.0,1095141,21196,TV,11,Finished Airing,Summer,2014,MAPPA,
Shokugeki no Souma: Ni no Sara,456,123,8.1,688712.0,1079141,3043,TV,13,Finished Airing,Summer,2016,J.C.Staff,Shounen
Shingeki no Kyojin: The Final Season Part 2,37,124,8.77,581602.0,1071526,28531,TV,12,Finished Airing,Winter,2022,MAPPA,Shounen
Log Horizon,680,125,7.93,555238.0,1066145,10084,TV,25,Finished Airing,Fall,2013,Satelight,
Ouran Koukou Host Club,394,126,8.16,645398.0,1064021,32698,TV,26,Finished Airing,Spring,2006,Bones,Shoujo
Nanatsu no Taizai: Imashime no Fukkatsu,1388,127,7.6,663143.0,1061446,3755,TV,24,Finished Airing,Winter,2018,A-1 Pictures,Shounen
Fate/Zero 2nd Season,97,128,8.56,674399.0,1058317,19931,TV,12,Finished Airing,Spring,2012,ufotable,
Devilman: Crybaby,993,129,7.76,642706.0,1056533,22598,ONA,10,Finished Airing,,2018,Others,Shounen
