Title,Rank,Popularity,Score,Score_Count,Members,Favorites,Type,Episodes,Status,Season,Year,Studios,Genres,Demographic
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Wit Studio,Action,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Wit Studio,Award Winning,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Wit Studio,Drama,Shounen
Shingeki no Kyojin,111,1,8.53,2606155.0,3666477,160638,TV,25,Finished Airing,Spring,2013,Wit Studio,Suspense,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Madhouse,Supernatural,Shounen
Death Note,80,2,8.62,2569010.0,3640099,164958,TV,37,Finished Airing,Fall,2006,Madhouse,Suspense,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Bones,Action,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Bones,Adventure,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Bones,Drama,Shounen
Fullmetal Alchemist: Brotherhood,2,3,9.11,1973141.0,3104299,214087,TV,64,Finished Airing,Spring,2009,Bones,Fantasy,Shounen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Madhouse,Action,Seinen
One Punch Man,129,4,8.5,2087800.0,2995422,61395,TV,12,Finished Airing,Fall,2015,Madhouse,Comedy,Seinen
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,A-1 Pictures,Action,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,A-1 Pictures,Adventure,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,A-1 Pictures,Fantasy,
Sword Art Online,3113,5,7.2,2040692.0,2904838,66325,TV,25,Finished Airing,Summer,2012,A-1 Pictures,Romance,
